,selectionSort,bubbleSort,insertionSort,gnomeSort,radixSortLSD,shellSort,quickSort,heapSort,mergeSort
Array of random elements 10 length,0.12,0.06,0.08,0.05,0.17,2.92,0.11,0.08,0.1
Array of random elements 1000 length,2.89,3.46,2.93,2.14,1.48,50.91,0.81,0.9,0.98
Array of random elements 100000 length,4790.29,18450.79,4713.85,7247.62,124.31,6422.1,45.13,25.46,54.81
Array of random elements in range 10^7 100000 length,4983.24,21205.37,5137.87,7788.52,181.63,6817.68,44.48,28.69,56.34
Array of random elements in range 10^9 100000 length,5350.95,23091.77,5597,8234.49,224.32,7345.67,48.07,24.86,58.23
Array of 10 elements with repeating of one sequence of numbers,0.01,0.02,0,0,0.02,1.78,0.01,0.01,0.01
Array of 20 elements with repeating of two sequences of numbers,0.01,0.01,0,0,0.04,3.14,0.07,0.01,0.02
Array of 30 elements with repeating of three sequences of numbers,0,0,0.01,0,0.06,3.75,0.03,0,0.03
Array of 10 elements with 2 swaps,0,0,0.01,0.01,0.03,1.68,0.02,0.02,0.02
Array of 100 elements with 5 swaps,0.01,0.02,0.01,0.01,0.11,8.57,0.06,0.01,0.07
Array of 1000 elements with 10 swaps,0.73,1.23,0.02,0.04,1.64,77.93,0.23,0.13,0.35
Array of 10 elements with ascending order,0.01,0.01,0.01,0,0.03,1.76,0.01,0,0.01
Array of 10 elements with descending order,0,0,0,0.01,0.02,1.58,0.01,0,0.02
Array of 100 elements with ascending order,0.01,0.02,0.01,0,0.07,10.05,0.06,0.03,0.06
Array of 100 elements with descending order,0.01,0.02,0.01,0.04,0.09,10.12,0.05,0.02,0.06
Array of 1000 elements with repeating of one element by percentage 10% ,3.87,4.09,4.55,2.79,1.01,71.81,1.76,0.95,1.31
Array of 1000 elements with repeating of one element by percentage 25% ,2.73,3.51,3.37,2.14,0.65,75.37,0.85,0.19,0.52
Array of 1000 elements with repeating of one element by percentage 50% ,0.63,0.94,0.4,0.65,0.64,72.94,2.31,0.18,1.22
Array of 1000 elements with repeating of one element by percentage 75% ,0.74,1.19,0.53,0.93,0.7,73.67,3.36,0.14,0.56
Array of 1000 elements with repeating of one element by percentage 90% ,0.74,0.87,0.1,0.12,0.82,70.07,5.47,0.08,0.41
